,Carpetweeds,Crabgrass,Eclipta,Goosegrass,Morningglory,Nutsedge,PalmerAmaranth,PricklySida,Purslane,Ragweed,Sicklepod,SpottedSpurge,SpurredAnoda,Swinecress,Waterhemp
Carpetweeds,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crabgrass,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0
Eclipta,0,0,37,0,0,0,0,0,0,1,0,0,1,0,0
Goosegrass,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0
Morningglory,0,0,0,0,163,0,2,0,0,0,1,0,2,0,0
Nutsedge,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
PalmerAmaranth,0,0,1,0,0,0,99,1,0,0,0,0,1,0,2
PricklySida,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
Purslane,1,0,0,0,0,0,0,0,65,0,0,2,0,0,0
Ragweed,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
Sicklepod,0,0,0,0,0,0,1,0,1,0,34,0,0,0,0
SpottedSpurge,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
SpurredAnoda,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0
Swinecress,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Waterhemp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
