,Carpetweeds,Crabgrass,Eclipta,Goosegrass,Morningglory,Nutsedge,PalmerAmaranth,PricklySida,Purslane,Ragweed,Sicklepod,SpottedSpurge,SpurredAnoda,Swinecress,Waterhemp
Carpetweeds,114,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Crabgrass,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0
Eclipta,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0
Goosegrass,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
Morningglory,0,0,0,0,158,0,5,0,1,0,2,1,1,0,0
Nutsedge,0,0,0,1,0,40,0,0,0,0,0,0,0,0,0
PalmerAmaranth,0,0,1,0,3,0,97,0,1,0,0,0,1,1,0
PricklySida,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0
Purslane,1,0,1,0,0,0,0,0,63,0,0,3,0,0,0
Ragweed,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0
Sicklepod,1,0,0,0,0,0,0,0,1,0,34,0,0,0,0
SpottedSpurge,0,0,0,0,0,0,0,0,1,0,0,35,0,0,0
SpurredAnoda,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0
Swinecress,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0
Waterhemp,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67
