,Carpetweeds,Crabgrass,Eclipta,Goosegrass,Morningglory,Nutsedge,PalmerAmaranth,PricklySida,Purslane,Ragweed,Sicklepod,SpottedSpurge,SpurredAnoda,Swinecress,Waterhemp
Carpetweeds,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crabgrass,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0
Eclipta,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
Goosegrass,0,1,0,30,0,2,0,0,0,0,0,0,0,0,0
Morningglory,0,0,0,0,167,0,1,0,0,0,0,0,0,0,0
Nutsedge,0,0,0,1,0,40,0,0,0,0,0,0,0,0,0
PalmerAmaranth,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0
PricklySida,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0
Purslane,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0
Ragweed,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
Sicklepod,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
SpottedSpurge,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
SpurredAnoda,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0
Swinecress,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0
Waterhemp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67
