Index,Model,Training Time,Trainable Parameters,Best Train Acc,Best Train Epoch,Best Val Acc,Best Val Epoch
0,resnet18,43m 7s,11184207,0.969923,47,0.981150,19
1,resnet18,43m 22s,11184207,0.968434,13,0.979265,22
2,resnet18,43m 21s,11184207,0.969327,17,0.979265,20
3,resnet18,43m 25s,11184207,0.968731,46,0.982092,33
4,resnet18,43m 31s,11184207,0.973198,24,0.980207,19
0,resnet50,70m 16s,23538767,0.982728,34,0.986805,32
1,resnet50,70m 20s,23538767,0.983026,36,0.984920,44
2,resnet50,70m 21s,23538767,0.980048,19,0.984920,48
3,resnet50,70m 32s,23538767,0.980345,40,0.985862,16
4,resnet50,70m 32s,23538767,0.979750,33,0.986805,10
0,resnet101,94m 33s,42530895,0.982132,35,0.986805,17
1,resnet101,94m 36s,42530895,0.983919,43,0.987747,17
2,resnet101,94m 41s,42530895,0.982728,42,0.985862,13
3,resnet101,94m 54s,42530895,0.982430,23,0.987747,39
4,resnet101,94m 57s,42530895,0.984217,29,0.987747,12
0,alexnet,36m 59s,57065295,0.950566,34,0.945335,16
1,alexnet,37m 10s,57065295,0.954437,36,0.947220,31
2,alexnet,37m 16s,57065295,0.955926,34,0.954760,15
3,alexnet,37m 19s,57065295,0.952650,44,0.953817,21
4,alexnet,37m 19s,57065295,0.954437,39,0.947220,26
0,vgg11,67m 36s,128827791,0.973794,28,0.969840,14
1,vgg11,67m 49s,128827791,0.973198,21,0.967012,9
2,vgg11,67m 59s,128827791,0.973794,23,0.971725,18
3,vgg11,68m 6s,128827791,0.974985,38,0.971725,18
4,vgg11,68m 16s,128827791,0.972007,27,0.967012,30
0,vgg16,101m 20s,134321999,0.978856,44,0.978322,8
1,vgg16,102m 10s,134321999,0.976176,22,0.972667,11
2,vgg16,102m 17s,134321999,0.976772,19,0.973610,20
3,vgg16,102m 19s,134321999,0.978559,46,0.972667,10
4,vgg16,102m 17s,134321999,0.980048,45,0.971725,17
0,vgg19,115m 41s,139631695,0.976176,36,0.977380,9
1,vgg19,115m 39s,139631695,0.977963,47,0.976437,31
2,vgg19,115m 39s,139631695,0.977367,35,0.975495,19
3,vgg19,115m 26s,139631695,0.976772,20,0.976437,17
